sample_proportion,period
0.3,78.0
0.31,70.66666666666667
0.32,64.75
0.33,71.0
0.34,89.0
0.35000000000000003,73.5
0.36000000000000004,73.66666666666667
0.37000000000000005,92.0
0.38000000000000006,54.5
0.39000000000000007,60.5
0.4000000000000001,93.5
0.4100000000000001,40.75
0.4200000000000001,92.5
0.4300000000000001,70.0
0.4400000000000001,70.75
0.4500000000000001,77.5
0.46000000000000013,80.5
0.47000000000000014,76.2
0.48000000000000015,76.5
0.49000000000000016,104.5
0.5000000000000002,61.0
0.5100000000000002,84.33333333333333
0.5200000000000002,79.0
0.5300000000000002,94.33333333333333
0.5400000000000003,68.0
0.5500000000000003,87.0
0.5600000000000003,73.5
0.5700000000000003,80.5
0.5800000000000003,86.5
0.5900000000000003,89.5
0.6000000000000003,69.33333333333333
0.6100000000000003,75.0
0.6200000000000003,82.5
0.6300000000000003,71.5
0.6400000000000003,76.5
0.6500000000000004,58.0
0.6600000000000004,62.666666666666664
0.6700000000000004,55.75
0.6800000000000004,92.0
0.6900000000000004,92.0
0.7000000000000004,68.0
0.7100000000000004,73.0
0.7200000000000004,102.0
0.7300000000000004,61.5
0.7400000000000004,69.5
0.7500000000000004,61.0
0.7600000000000005,83.5
0.7700000000000005,89.5
0.7800000000000005,61.333333333333336
0.7900000000000005,72.0
0.8000000000000005,87.33333333333333
0.8100000000000005,69.0
0.8200000000000005,70.5
0.8300000000000005,73.5
0.8400000000000005,78.5
0.8500000000000005,111.0
0.8600000000000005,87.33333333333333
0.8700000000000006,78.0
0.8800000000000006,83.5
0.8900000000000006,80.0
0.9000000000000006,82.66666666666667
0.9100000000000006,67.0
0.9200000000000006,80.5
0.9300000000000006,56.5
0.9400000000000006,63.0
0.9500000000000006,74.5
0.9600000000000006,89.5
0.9700000000000006,84.0
0.9800000000000006,52.57142857142857
0.9900000000000007,79.5
